Date,Infected,Dead,Recovered,Total
2/24/2020,221,7,1,229
2/25/2020,309,11,1,321
2/26/2020,385,12,3,400
2/27/2020,588,17,45,650
2/28/2020,821,21,45,887
2/29/2020,1049,29,50,1128
3/1/2020,1337,31,46,1414
3/2/2020,1835,52,149,2036
3/3/2020,2263,79,160,2502
3/4/2020,2706,107,276,3089
3/5/2020,3276,148,414,3838
3/6/2020,3916,197,523,4636
3/7/2020,5061,233,589,5883
3/8/2020,6387,366,622,7375
3/9/2020,7985,463,724,9172
3/10/2020,8514,631,1004,10149
3/11/2020,10590,827,1045,12462
3/12/2020,12839,1016,1258,15113
3/13/2020,14955,1266,1429,17650
3/14/2020,17750,1441,1966,21157
3/15/2020,20603,1809,2335,24747
3/16/2020,23073,2158,2749,27980
3/17/2020,26062,2503,2941,31506
3/18/2020,28710,2978,4025,35713
